store,department,status
Kathmandu Mart,Grocery,success
Kathmandu Mart,Vegetables,success
Kathmandu Mart,Dairy,success
Kathmandu Mart,Bakery,success
Kathmandu Mart,Electronics,success
Kathmandu Mart,Clothing,success
Kathmandu Mart,Footwear,success
Kathmandu Mart,Home & Kitchen,success
Kathmandu Mart,Pharmacy,success
Kathmandu Mart,Toys,success
Kathmandu Mart,Stationery,success
Kathmandu Mart,Beauty,success
Kathmandu Mart,Meat,success
Kathmandu Mart,Beverages,success
Kathmandu Mart,Mobile & Accessories,success
Kathmandu Mart,Hardware,success
Kathmandu Mart,Fruits,success
Kathmandu Mart,Frozen Foods,success
Kathmandu Mart,Household Care,success
Kathmandu Mart,Auto Accessories,success
Bhat-Bhateni,Grocery,success
Bhat-Bhateni,Vegetables,success
Bhat-Bhateni,Dairy,success
Bhat-Bhateni,Bakery,success
Bhat-Bhateni,Electronics,success
Bhat-Bhateni,Clothing,success
Bhat-Bhateni,Footwear,success
Bhat-Bhateni,Home & Kitchen,success
Bhat-Bhateni,Pharmacy,success
Bhat-Bhateni,Toys,success
Bhat-Bhateni,Stationery,success
Bhat-Bhateni,Beauty,success
Bhat-Bhateni,Meat,success
Bhat-Bhateni,Beverages,success
Bhat-Bhateni,Mobile & Accessories,success
Bhat-Bhateni,Hardware,success
Bhat-Bhateni,Fruits,success
Bhat-Bhateni,Frozen Foods,success
Bhat-Bhateni,Household Care,success
Bhat-Bhateni,Auto Accessories,success
Lalitpur Market,Grocery,success
Lalitpur Market,Vegetables,success
Lalitpur Market,Dairy,success
Lalitpur Market,Bakery,success
Lalitpur Market,Electronics,success
Lalitpur Market,Clothing,success
Lalitpur Market,Footwear,success
Lalitpur Market,Home & Kitchen,success
Lalitpur Market,Pharmacy,success
Lalitpur Market,Toys,success
Lalitpur Market,Stationery,success
Lalitpur Market,Beauty,success
Lalitpur Market,Meat,success
Lalitpur Market,Beverages,success
Lalitpur Market,Mobile & Accessories,success
Lalitpur Market,Hardware,success
Lalitpur Market,Fruits,success
Lalitpur Market,Frozen Foods,success
Lalitpur Market,Household Care,success
Lalitpur Market,Auto Accessories,success
Pokhara Plaza,Grocery,success
Pokhara Plaza,Vegetables,success
Pokhara Plaza,Dairy,success
Pokhara Plaza,Bakery,success
Pokhara Plaza,Electronics,success
Pokhara Plaza,Clothing,success
Pokhara Plaza,Footwear,success
Pokhara Plaza,Home & Kitchen,success
Pokhara Plaza,Pharmacy,success
Pokhara Plaza,Toys,success
Pokhara Plaza,Stationery,success
Pokhara Plaza,Beauty,success
Pokhara Plaza,Meat,success
Pokhara Plaza,Beverages,success
Pokhara Plaza,Mobile & Accessories,success
Pokhara Plaza,Hardware,success
Pokhara Plaza,Fruits,success
Pokhara Plaza,Frozen Foods,success
Pokhara Plaza,Household Care,success
Pokhara Plaza,Auto Accessories,success
Butwal SuperMart,Grocery,success
Butwal SuperMart,Vegetables,success
Butwal SuperMart,Dairy,success
Butwal SuperMart,Bakery,success
Butwal SuperMart,Electronics,success
Butwal SuperMart,Clothing,success
Butwal SuperMart,Footwear,success
Butwal SuperMart,Home & Kitchen,success
Butwal SuperMart,Pharmacy,success
Butwal SuperMart,Toys,success
Butwal SuperMart,Stationery,success
Butwal SuperMart,Beauty,success
Butwal SuperMart,Meat,success
Butwal SuperMart,Beverages,success
Butwal SuperMart,Mobile & Accessories,success
Butwal SuperMart,Hardware,success
Butwal SuperMart,Fruits,success
Butwal SuperMart,Frozen Foods,success
Butwal SuperMart,Household Care,success
Butwal SuperMart,Auto Accessories,success
Biratnagar Mart,Grocery,success
Biratnagar Mart,Vegetables,success
Biratnagar Mart,Dairy,success
Biratnagar Mart,Bakery,success
Biratnagar Mart,Electronics,success
Biratnagar Mart,Clothing,success
Biratnagar Mart,Footwear,success
Biratnagar Mart,Home & Kitchen,success
Biratnagar Mart,Pharmacy,success
Biratnagar Mart,Toys,success
Biratnagar Mart,Stationery,success
Biratnagar Mart,Beauty,success
Biratnagar Mart,Meat,success
Biratnagar Mart,Beverages,success
Biratnagar Mart,Mobile & Accessories,success
Biratnagar Mart,Hardware,success
Biratnagar Mart,Fruits,success
Biratnagar Mart,Frozen Foods,success
Biratnagar Mart,Household Care,success
Biratnagar Mart,Auto Accessories,success
Hetauda Hyper,Grocery,success
Hetauda Hyper,Vegetables,success
Hetauda Hyper,Dairy,success
Hetauda Hyper,Bakery,success
Hetauda Hyper,Electronics,success
Hetauda Hyper,Clothing,success
